kanji	codepoint	strokes	grade	freq	jlpt	ref_sh_kk	on'yomi	kun'yomi	meanings
亜	20124	7	8	1509	1	1616	ア	つ･ぐ	Asia, rank next, come after, -ous
唖	21782	10					ア, アク	おし	mute, dumb
娃	23043	9	9				ア, アイ, ワ	うつく･しい	beautiful
阿	38463	8	9	1126	1	2258	ア, オ	おもね･る, くま	Africa, flatter, fawn upon, corner, nook, recess
哀	21696	9	8	1715	1	1675	アイ	あわ･れ, あわ･れむ, かな･しい	pathetic, grief, sorrow, pathos, pity, sympathize
愛	24859	13	4	640	2	259	アイ	いと･しい, かな･しい, め･でる, お･しむ, まな	love, affection, favourite
挨	25384	10	8	2258			アイ	ひら･く	approach, draw near, push open
姶	23030	9					オウ, アイ	あい	good-looking, quiet
逢	36898	10	9	2116			ホウ	あ･う, むか･える	meeting, tryst, date, rendezvous
葵	33909	12	9	2122	1	2222	キ	あおい	hollyhock
茜	33564	9	9	2422	1	2216	セン	あかね	madder, red dye, Turkey red
穐	31312	16					シュウ	あき, とき	autumn
悪	24746	11	3	530	3	304	アク, オ	わる･い, わる-, あ･し, にく･い, -にく･い, ああ, いずくに, いずくんぞ, にく･む	bad, vice, rascal, false, evil, wrong
握	25569	12	8	1003	1	1714	アク	にぎ･る	grip, hold, mould sushi, bribe
渥	28197	12	9	2257	1	2143	アク	あつ･い, うるお･う	kindness, moisten
旭	26093	6	9	1417	1	2086	キョク	あさひ	rising sun, morning sun
葦	33894	13	9	2343			イ	あし, よし, しお･れる, しな･びる, しぼ･む, な･える	reed, bullrush
芦	33446	7	9	1733			ロ	あし, よし	reed, bullrush
鯵	39925	19					ソウ	あじ	horse mackerel
梓	26771	11	9	2301	1	2113	シ	あずさ	catalpa tree, woodblock printing
圧	22311	5	5	718	2	1342	アツ, エン, オウ	お･す, へ･す, おさ･える, お･さえる	pressure, push, overwhelm, oppress, dominate
斡	26017	14	9				アツ, カン, ワツ	めぐ･る, めぐ･らす	go around, rule, administer
扱	25201	6	8	1057	1	1258	ソウ, キュウ	あつか･い, あつか･う, あつか･る, こ･く	handle, entertain, thresh, strip
宛	23451	8	8				エン	あ･てる, -あて, -づつ, あたか･も	address, just like, fortunately
姐	22992	8					ソ, シャ	あね, ねえさん	elder sister, maidservant
虻	34427	9					ボウ	あぶ	gadfly, horsefly
飴	39156	13					イ, シ	あめ, やしな･う	rice jelly, candy
絢	32098	12	9	2315	1	2194	ケン		brilliant fabric design
綾	32190	14	9	1759	1	2198	リン	あや	design, figured cloth, twill
鮎	39822	16	9	2201	1	2270	デン, ネン	あゆ, なまず	freshwater trout, smelt
或	25110	8	9	2378			ワク, コク, イキ	あ･る, あるい, あるいは	some, one, or, possibly, a certain
粟	31903	12	9	2146			ゾク, ショク, ソク	あわ, もみ	millet
袷	34999	11					コウ, キョウ	あわせ	lined (kimono)
安	23433	6	3	144	4	105	アン	やす･い, やす･まる, やす, やす･らか	relax, cheap, low, quiet, rested, contented, peaceful
庵	24245	11	9	2119			アン	いおり, いお	hermitage, retreat
按	25353	9	9				アン	おさ･える, しら･べる	hold, consider, investigate
暗	26263	13	3	1040	3	348	アン	くら･い, くら･む, くれ･る	darkness, disappear, shade, informal, grow dark, be blinded
案	26696	10	4	206	2	106	アン	つくえ	plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench
闇	38343	17	8	1969			アン, オン	やみ, くら･い	get dark, gloom, disorder
鞍	38797	15	9	2214			アン	くら	saddle
杏	26447	7	9	2159	1	2102	キョウ, アン, コウ	あんず	apricot
以	20197	5	4	126	3	46	イ	もっ･て	by means of, because, in view of, compared with
伊	20234	6	9	703	1	2011	イ	かれ	Italy, that one
位	20301	7	4	276	2	122	イ	くらい, ぐらい	rank, grade, throne, crown, about, some
依	20381	8	8	906	2	678	イ, エ	よ･る	reliant, depend on, consequently, therefore, due to
偉	20553	12	8	1639	2	1053	イ	えら･い	admirable, greatness, remarkable, conceited, famous, excellent
囲	22258	7	5	771	2	1194	イ	かこ･む, かこ･う, かこ･い	surround, besiege, store, paling, enclosure, encircle, preserve, keep
夷	22839	6	9	2324			イ	えびす, えみし, ころ･す, たい･らげる	barbarian, savage, Ainu
委	22996	8	3	187	2	466	イ	ゆだ･ねる	committee, entrust to, leave to, devote, discard
威	23041	9	8	1103	1	1339	イ	おど･す, おど･し, おど･かす	intimidate, dignity, majesty, menace, threaten
尉	23561	11	8	2007	1	1617	イ, ジョウ		military officer, jailer, old man, rank
惟	24799	11	9	2246	1	2073	イ, ユイ	おも･んみる, これ, おも･うに	consider, reflect, think
意	24847	13	3	99	3	132	イ		idea, mind, heart, taste, thought, desire, care, liking
慰	24944	15	8	1158	1	1618	イ	なぐさ･める, なぐさ･む	consolation, amusement, seduce, cheer, make sport of, comfort, console
易	26131	8	5	571	2	759	エキ, イ	やさ･しい, やす･い	easy, ready to, simple, fortune-telling, divination
椅	26885	12	8	2245			イ		chair
為	28858	9	8	831	1	1484	イ	ため, な･る, な･す, す･る, たり, つく･る, なり	do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of
畏	30031	9	8	2389			イ	おそ･れる, かしこま･る, かしこ, かしこ･し	fear, majestic, graciously, be apprehensive
異	30064	11	6	631	2	1061	イ	こと, こと･なる, け	uncommon, different, queerness, strangeness, wonderful, curious, unusual
移	31227	11	5	448	2	1121	イ	うつ･る, うつ･す	shift, move, change, drift, catch (cold, fire), pass into
維	32173	14	8	643	1	1231	イ		fiber, tie, rope
緯	32239	16	8	1430	1	1054	イ	よこいと, ぬき	horizontal, woof, left & right, (parallels of) latitude, prediction
胃	32963	9	6	1647	2	1268	イ		stomach, paunch, crop, craw
萎	33806	11	8				イ	な, しお･れる, しな･びる, しぼ･む, な･える	wither, droop, lame
衣	34915	6	4	1214	2	677	イ, エ	ころも, きぬ, -ぎ	garment, clothes, dressing
謂	35586	16	9				イ	い･う, いい, おも･う, いわゆる	reason, origin, history, oral tradition
違	36949	13	8	344	2	814	イ	ちが･う, ちが･い, ちが･える, -ちが･える, たが･う, たが･える	difference, differ
遺	36986	15	6	647	1	1172	イ, ユイ	のこ･す	bequeath, leave behind, reserve
医	21307	7	3	437	3	220	イ	い･やす, い･する, くすし	doctor, medicine
井	20117	4	4	339	1	1193	セイ, ショウ	い	well, well crib, town, community
亥	20133	6	9		1	2008	ガイ, カイ	い	sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac
域	22495	11	6	396	2	970	イキ		range, region, limits, stage, level
育	32946	8	3	369	2	246	イク	そだ･つ, そだ･ち, そだ･てる, はぐく･む	bring up, grow up, raise, rear
郁	37057	9	9	1920	1	2252	イク		cultural progress, perfume
磯	30959	17	9	1444	1	2177	キ	いそ	seashore, beach
一	19968	1	1	2	4	2	イチ, イツ	ひと-, ひと･つ	one, one radical (no.1)
壱	22769	7	8	2351	1	1730	イチ, イツ	ひとつ	one (in documents)
溢	28322	13	9	2405			イツ	こぼ･れる, あふ･れる, み･ちる	overflow, inundate, spill
逸	36920	11	8	1524	1	734	イツ	そ･れる, そ･らす, はぐ･れる	deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge
稲	31282	14	8	1038	1	1220	トウ, テ	いね, いな-	rice plant
茨	33576	9	4	1203			シ, ジ	いばら, かや, くさぶき	briar, thorn
芋	33419	6	8	2418	1	1909	ウ	いも	potato
鰯	39983	21	9					いわし	sardine, (kokuji)
允	20801	4	9	2358	1	2022	イン	じょう, まこと･に, ゆるす	license, sincerity, permit
印	21360	6	4	682	2	1043	イン	しるし, -じるし, しる･す	stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India
咽	21693	9	8				イン, エン, エツ	むせ･ぶ, むせ･る, のど, の･む	throat, choked, smothered, stuffy
員	21729	10	3	54	3	163	イン		employee, member, number, the one in charge
因	22240	6	5	636	2	554	イン	よ･る, ちな･む	cause, factor, be associated with, depend on, be limited to
姻	23035	9	8	1985	1	1748	イン		matrimony, marry
引	24341	4	2	218	3	216	イン	ひ･く, ひ･ける	pull, tug, jerk, admit, install, quote, refer to
飲	39154	12	3	969	4	323	イン, オン	の･む, -の･み	drink, smoke, take
淫	28139	11	8				イン	ひた･す, ほしいまま, みだ･ら, みだ･れる, みだり	lewdness, licentiousness
胤	32996	9	9		1	2205	イン	たね	descendent, issue, offspring
蔭	34093	14	9	2166			イン, オン	かげ	shade, shadow, backing assistance
院	38498	10	3	150	3	614	イン		Inst., institution, temple, mansion, school
陰	38512	11	8	1393	1	867	イン	かげ, かげ･る	shade, yin, negative, sex organs, secret, shadow
隠	38560	14	8	1089	1	868	イン, オン	かく･す, かく･し, かく･れる, よ･る	conceal, hide, cover
韻	38907	19	8	2148	1	349	イン		rhyme, elegance, tone
吋	21515	6					トウ, ドウ, スン	インチ	inch
右	21491	5	1	602	4	76	ウ, ユウ	みぎ	right
宇	23431	6	6	883	2	990	ウ		eaves, roof, house, heaven
烏	28879	10	9	2042			ウ, オ	からす, いずくんぞ, なんぞ	crow, raven
羽	32701	6	2	748	2	590	ウ	は, わ, はね	feathers, counter for birds, rabbits
迂	36802	6	9				ウ		roundabout way
雨	38632	8	1	950	4	30	ウ	あめ, あま-, -さめ	rain
卯	21359	5	9	2400	1	2031	ボウ, モウ	う	sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east
鵜	40284	18	9	2118			テイ, ダイ	う	cormorant
窺	31418	16	9				キ	うかが･う, のぞく	lie in wait, spy on, reconnoiter
丑	19985	4	9	2305	1	2001	チュウ	うし	sign of the ox or cow, 1-3AM, second sign of Chinese zodiac
碓	30867	13	9	2364			カク, タイ	たし･か, かく･たる	pestle
臼	33276	6	8	2048			キュウ, グ	うす, うすづ･く	mortar
渦	28198	12	8	1789	1	1810	カ	うず	whirlpool, eddy, vortex
嘘	22040	14		2235			キョ, コ	うそ, ふ･く	lie, falsehood
唄	21764	10	8	2051	1	2039	バイ	うた, うた･う	song, ballad
欝	27421	26					ウツ, ウン	うっ･する, ふさ･ぐ, しげ･る	gloom, depression, melancholy
蔚	34074	14					ウツ, イ	うち, おとこよもぎ	dense growth
鰻	39995	22					マン, バン	うなぎ	eel
姥	23013	9	9				ボ, モ	うば	old woman
厩	21417	12	9				キュウ	うまや	barn, stable
浦	28006	10	8	977	1	1442	ホ	うら	bay, creek, inlet, gulf, beach, seacoast
瓜	29916	6	9	2459			カ, ケ	うり	melon
閏	38287	12	9				ジュン	うるう	intercalation, illegitimate throne
噂	22082	15	9	2298			ソン	うわさ	rumor, gossip, hearsay
云	20113	4	9				ウン	い･う, ここに	say
運	36939	12	3	255	3	439	ウン	はこ･ぶ	carry, luck, destiny, fate, lot, transport, progress, advance
雲	38642	12	2	1256	2	636	ウン	くも, -ぐも	cloud
荏	33615	9		2096			ジン, ニン		bean, perilla, herb, soft, pliable
餌	39180	14	8	2277			ジ, ニ	え, えば, えさ, もち	food, bait, prey, tempting profit
叡	21473	16	9		1	2032	エイ	あき･らか	intelligence, imperial
