learned	on'yomi	kun'yomi	meaning	ref_sh_kk
19	NIN, JIN	hito	person	1
1	ICHI, ITSU	hito(tsu)	one (1)	2
2	NI	futa(tsu)	two (2)	3
3	SAN	mi(t)(tsu)	three (3)	4
21	NICHI, JITSU	ka, hi	day, sun	5
4	SHI	yo(n), yo(t)(tsu)	four (4)	6
5	GO	itsu(tsu)	five (5)	7
6	ROKU	mu(t)(tsu)	six (6)	8
7	SHICHI	nana(tsu)	seven (7)	9
8	HACHI	ya(t)(tsu)	eight (8)	10
9	KYUU, KU	kokono(ka)	nine (9)	11
10	JUU	to(o)	ten (10)	12
70	EN	maru(i)	round, yen	13
11	HYAKU	momo	hundred (100)	14
12	SEN	chi	thousand (1,000)	15
13	MAN, BAN	yoro(zu)	ten thousand (10,000)	16
22	GETSU, GATSU	tsuki	moon, month	17
84	MEI, MYOU	aka(rui), a(keru)	light, bright, clear	18
242	YOU		day of the week	19
23	KA	hi, ho	fire, light	20
24	SUI	mizu	water	21
25	MOKU, BOKU	ki	tree, wood	22
26	KIN, KON	kane, kana	money, gold	23
27	TO, DO	tsuchi	ground, earth, soil	24
28	HON	moto	book	25
54	DAI, TAI	oo(kii)	big	26
52	SHOU	chii(sai), ko, o	small	27
53	CHUU	naka	middle, center, within, inside, in	28
144	FUU, FU	kaze	wind, style	29
65	U	ame, ama	rain	30
42	KA, GE	shita, shimo, moto	bottom, down, under, lower	31
41	JOU, SHOU	kami, ue, a(geru), a(garu), no(boru)	up, above, top, on	32
62	SEN	kawa	river	33
61	SAN	yama	mountain	34
211	DEN	ta	rice field	35
943		hata, hatake	field, farm	36
1020	TOU	katana	sword, knife	37
57	BU, FUN, BUN	wa(karu), wa(keru), wa(kareru)	divide, minute, part, understand	38
161	SETSU	ki(ru), ki(reru)	cut	39
69	KOKU	kuni	country	40
744	JI	tera	temple	41
35	JI	toki	time, hour	42
36	KAN, KEN	aida, ma	interval, between	43
60	SEI, SHOU	i(kiru), u(mareru), nama	life, live, birth	44
31	NEN	toshi	year	45
102	I		with, from	46
33	ZEN	mae	before, in front of, previous	47
34	GO, KOU	ato, nochi, ushi(ro), oku(reru)	after, behind	48
32	GO	uma	noon	49
38	SEN	saki	previous, ahead	50
39	KON, KIN	ima	this, now, the present	51
80	NYUU	i(ru), i(reru), hai(ru)	enter, put in	52
79	SHUTSU, SUI	da(su), de(ru)	leave, put out	53
164	KOU, KU	kuchi	mouth	54
239	MOKU	me	eye	55
246	JI	mimi	ear	56
195	SHU	te	hand	57
91	SOKU	ashi	foot, leg, suffice	58
824	SHIN	mi	body, self	59
29	KYUU	yasu(mu)	rest, vacation	60
149	TAI, TEI	karada	body, form	61
182	JI, SHI	mizuka(ra)	self	62
77	KEN	mi(ru), mi(eru), mi(seru)	see, show	63
72	BUN, MON	ki(ku), ki(koeru)	hear, listen, ask	64
534	SHU	to(ru)	take	65
103	GEN, GON	i(u), koto	word, say, speech	66
30	GO	kata(ru), kata(rau)	word, language, tell	67
78	KOU, GYOU	i(ku), yu(ku)	go	68
75	RAI	ku(ru), kita(ru), kita(su)	come	69
146	HOU	kata	person, way, direction	70
45	TOU	higashi	east	71
46	SAI, SEI	nishi	west	72
48	HOKU	kita	north	73
47	NAN	minami	south	74
43	SA	hidari	left	75
44	U, YUU	migi	right	76
295	TOU	a(teru), a(taru)	hit, win, allot	77
335	SEKI, SHAKU	ishi	stone	78
235	BUTSU, MOTSU	mono	thing, object	79
176	JI	koto	thing, matter, affair	80
207	SEKI	yuu	evening	81
50	MEI, MYOU	na	name, fame, famous	82
49	GAI, GE	soto, hoka	outside, foreign	83
364	NAI, DAI	uchi	inside	84
184	SHI	shi(nu)	die, death	85
552	BU		part, section	86
939	BAI		times, double	87
56	HAN	naka(ba)	half	88
724	ZEN	matta(ku), sube(te)	all, entire, whole	89
250	KAI, E	mawa(ru), mawa(su)	a time, turn, revolve	90
766	SHUU	mawa(ri)	lap, circumference, surroundings	91
196	SHUU		week	92
921	MU, BU	na(i)	without, nothing	93
233	FU, BU		not, un-	94
55	CHOU	naga(i)	chief, long	95
230	HATSU, HOTSU		start, leave, emit	96
173	SHIN	kokoro	heart, mind	97
798	SEI, SHOU		nature, sex	98
134	SHI	omo(u)	think	99
218	RYOKU, RIKI	chikara	strength, force, power	100
18	NAN, DAN	otoko	man, male	101
17	JO, NYO	onna, me	woman, female	102
20	SHI, SU	ko	child	103
257	KOU	su(ku), kono(mu)	like, favorable	104
99	AN	yasu(i)	peaceful, cheap	105
1029	AN		idea, plan, proposal	106
240	YOU	mochi(iru)	use, business, service	107
66	DEN		electricity	108
58	GAKU	mana(bu)	learn	109
90	JI	aza	letter, character, mark	110
236	BUN, MON	fumi	sentence, letter	111
15	BO, MU, KAA	haha	mother	112
14	FU, HO, TOU	chichi	father	113
448	KOU	ma(jiru), maji(waru), ka(u)	exchange, mix, associate	114
59	KOU		school	115
37	MAI, BAI	goto(ni)	each, every	116
119	KAI	umi	sea, ocean	117
188	CHI, JI		ground, land	118
275	CHI	ike	pond	119
1012	TA	hoka	other, another	120
216	RITSU	ta(tsu), ta(teru)	stand, raise	121
320	I	kurai	rank, position	122
548	HOU, HAtsu		law	123
393	WA, O	yawa(ragu), nago(mu)	peace, harmony, Japanese	124
187	SHI	watashi, watakushi	private, I	125
517	KOU	ooyake	public, official	126
948	RIN	hayashi	woods, grove	127
267	SHIN	mori	woods, forest	128
873	CHIKU	take	bamboo	129
956	HITSU	fude	brush, writing	130
76	SHO	ka(ku)	write, book	131
101	I		mind, heart, attention	132
68	SHA	kuruma	car, vehicle	133
787	SEI, SHOU		spirit, soul, energy	134
1017	KI		steam	135
636	GEN	hara	original, plain, field	136
153	GEN, GAN	moto	beginning, origin	137
256	KOU	hikari, hika(ru)	light, shine	138
165	KOU, KU		construction, craft	139
86	KUU	sora, kara, a(ku), a(keru)	sky, air, empty	140
64	TEN	ama, ame	heaven, sky	141
1021	RI	sato	village, parents' house	142
244	RI		reason, principle, logic	143
201	SHOU	suku(nai), suko(shi)	little, few	144
450	SEI, SHOU	kaeri(miru), habu(ku)	ministry, omit	145
282	SOU, SHOU	ai	aspect, phase, each other	146
846	SOU, SO		idea, thought	147
263	SHU	kubi	neck, head	148
225	DOU, TOU	michi	way, street, path	149
148	TSUU	too(ru), too(su), kayo(u)	pass, communicate	150
743	RO	ji	road, street	151
639	KO	to	door	152
265	SHO	tokoro	place, area	153
202	JOU	ba	place	154
133	SHU	omo, nushi	main, master	155
198	JUU	su(mu), su(mau)	live, dwell, reside	156
814	SHIN		believe, trust, faith	157
81	KAI, E	a(u)	meet	158
258	GOU, GAtsu, KAtsu	a(u)	fit, match	159
175	TOU	kota(e), kota(eru)	answer, solution	160
280	MON	kado	gate	161
223	MON	to(u), to(i), ton	question, problem	162
110	IN		member, official	163
194	SHA	mono	person	164
105	KA, KE	ie, ya	house, family	165
191	SHITSU	muro	room	166
128	OKU	ya	roof, house, shop	167
222	TEN	mise	store, shop	168
604	TEN		point, dot	169
551	KYOKU		bureau, office	170
348	KYO	i(ru)	live, exist, be	171
171	KO	furu(i), furu(su)	old, ancient	172
1064	KO	yue	reason, cause, circumstances	173
93	SHIN	ara(ta), atara(shii), ni(i)	new, fresh	174
135	SHIN	oya, shita(shii)	parent, familiar	175
190	SHITSU, SHICHI		quality, nature	176
279	MIN	tami	people, nation	177
871	TAKU		home, residence	178
547	SHUKU	yado, yado(ru), yado(su)	lodging, inn, shelter	179
147	SHI	kami	paper	180
261	SHI	ichi	city, market	181
220	CHOU	machi	town	182
253	KU		district, ward	183
1028	CHOU, TEI		even number, (quantifier)	184
